CODIGOESTR;ESTRUCT;HORASFUNC1;HORASFUNC2;DIASFUNCME;SUBTIPO;SUBT;Luminaria.BAJOMEDICION;Luminaria.POTENCIA;POTENCIA_2;ALIMENTA_5;ALIM;SUBTIPO_1;TRAF;VOLTAJE;POTENCIA TRAFO;TRAFO;KWH;;;;;;;;
APO0311;LDPS100ACC;12;0;100;4;Sodio Cerrada;0;100;0;03GR010T21;Guaranda - Chimbo;1;Transformador Monofásico en poste;7.97 kV;10;0303348;36;;;;;;;;
APO0310;LCPS150ACC;12;0;100;4;Sodio Cerrada;0;70;0;03GR010T11;Guaranda - Vinchoa;1;Transformador Monofásico en poste;7.97 kV;10;0303342;25;;;;;;;;
APO0310;LCPS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03GR010T11;Guaranda - Vinchoa;1;Transformador Monofásico en poste;7.97 kV;10;0303348;36;;;;;;;;
APO0310;LCPS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03GR010T11;Guaranda - Vinchoa;1;Transformador Monofásico en poste;7.97 kV;10;0303348;36;;;;;;;;
APO0310;LCPS150ACC;12;0;100;4;Sodio Cerrada;0;70;0;03GR010T11;Guaranda - Vinchoa;1;Transformador Monofásico en poste;7.97 kV;10;0303342;25;;;;;;;;
APO0379;LDOS150ACC;12;0;100;4;Sodio Cerrada;0;250;0;03GR010T11;Guaranda - Vinchoa;1;Transformador Monofásico en poste;7.62 kV;25;0303900;90;;;;;;;;
APO0379;LDOS150ACC;12;0;100;4;Sodio Cerrada;0;250;0;03GR010T11;Guaranda - Vinchoa;1;Transformador Monofásico en poste;7.62 kV;25;0302647;90;;;;;;;;
APO0379;LDOS150ACC;12;0;100;4;Sodio Cerrada;0;70;0;03GR010T11;Guaranda - Vinchoa;1;Transformador Monofásico en poste;7.62 kV;10;0303342;25;;;;;;;;
APO0312;LDPS150ACC;12;0;100;4;Sodio Cerrada;0;150;0;03SI060T12;Sicoto - San Pablo;1;Transformador Monofásico en poste;7.97 kV;37.5;0303292;54;;;;;;;;
APO0313;LDPS250ACC;12;0;100;4;Sodio Cerrada;0;100;0;03SI060T12;Sicoto - San Pablo;1;Transformador Monofásico en poste;7.97 kV;45;0301078;36;;;;;;;;
APO0312;LDPS150ACC;12;0;100;4;Sodio Cerrada;0;250;0;03SI060T12;Sicoto - San Pablo;1;Transformador Monofásico en poste;7.97 kV;25;0302647;90;;;;;;;;
APO0312;LDPS150ACC;12;0;100;4;Sodio Cerrada;0;250;0;03SI060T12;Sicoto - San Pablo;1;Transformador Monofásico en poste;7.97 kV;25;0302647;90;;;;;;;;
APO0110;LDSM125ACA;12;0;100;2;Mercurio Abierta;0;150;0;03SI060T12;Sicoto - San Pablo;1;Transformador Monofásico en poste;7.97 kV;25;0302647;54;;;;;;;;
APO0310;LCPS150ACC;12;0;100;4;Sodio Cerrada;0;250;0;03SI060T11;Sicoto - Chillanes;1;Transformador Monofásico en poste;7.97 kV;25;0302647;90;;;;;;;;
APO0310;LCPS150ACC;12;0;100;3;Sodio Abierta;0;100;0;03SI060T11;Sicoto - Chillanes;1;Transformador Monofásico en poste;7.97 kV;25;0303295;36;;;;;;;;
APO0310;LCPS150ACC;12;0;100;3;Sodio Abierta;0;100;0;03SI060T11;Sicoto - Chillanes;1;Transformador Monofásico en poste;7.97 kV;37.5;0303292;36;;;;;;;;
APO0310;LCPS150ACC;12;0;100;3;Sodio Abierta;0;100;0;03SI060T11;Sicoto - Chillanes;1;Transformador Monofásico en poste;7.97 kV;37.5;0303292;36;;;;;;;;
APO0309;LCPS100ACC;12;0;100;3;Sodio Abierta;0;100;0;03SI060T11;Sicoto - Chillanes;1;Transformador Monofásico en poste;7.97 kV;37.5;0303292;36;;;;;;;;
APO0310;LCPS150ACC;12;0;100;4;Sodio Cerrada;0;150;0;03GR010T11;Guaranda - Vinchoa;1;Transformador Monofásico en poste;7.62 kV;37.5;0303292;54;;;;;;;;
APO0310;LCPS150ACC;12;0;100;4;Sodio Cerrada;0;100;0;03GR010T11;Guaranda - Vinchoa;1;Transformador Monofásico en poste;7.62 kV;37.5;0303292;36;;;;;;;;
